U2 RF2
0.000000000000000000e+00 0.000000000000000000e+00
1.097209531631023610e-02 1.122488312721252441e+02
8.159874343067589908e-02 9.348693733215332031e+02
1.539003345315441695e-01 1.794851440429687500e+03
2.262044382607278636e-01 2.654965675354003906e+03
2.985104254784028410e-01 3.515195251464843750e+03
3.708181666450266478e-01 4.375529556274414062e+03
4.431272494646669169e-01 5.235961593627929688e+03
5.154368012595030857e-01 6.096476730346679688e+03
5.877466231036040378e-01 6.957066467285156250e+03
6.600565676308848273e-01 7.817723754882812500e+03
7.323665410463063852e-01 8.678442260742187500e+03
8.046764833795512217e-01 9.539216339111328125e+03
8.676833576219944444e-01 1.029949426269531250e+04
