U2 RF2
0.000000 0.000000
0.000000 0.000000
0.000351 3.504893
0.000695 7.780919
0.001211 13.333031
0.001960 22.202379
0.003070 34.691804
0.004789 53.989145
0.007399 83.925362
0.011310 127.577759
0.017124 191.947773
0.024671 277.763176
0.032278 367.501658
0.039933 456.563592
0.047645 546.774650
0.055387 636.265779
0.063138 725.988998
0.070900 815.322151
0.078659 904.241319
0.086422 992.415402
0.094181 1078.805465
0.101936 1164.763033
0.109685 1251.370025
0.117433 1337.388395
0.125151 1425.082297
0.132924 1511.207797
0.140628 1599.001034
0.148369 1686.448235
0.156069 1774.894725
0.163782 1863.384861
0.171464 1952.271562
0.179155 2040.557691
0.186827 2128.775502
0.194507 2216.443130
0.202178 2304.186292
0.209860 2391.963879
0.217538 2480.272818
0.225227 2568.854484
0.232914 2657.730444
0.240608 2746.856839
0.248304 2834.367681
0.256004 2923.864868
0.263707 3011.662738
0.271414 3100.556620
0.279221 3179.881154
0.286914 3265.551175
0.294681 3352.752629
0.302414 3439.645419
0.310213 3522.825334
0.318123 3591.570952
0.325557 3693.295838
0.333656 3780.372937
0.341173 3852.876453
0.349266 3934.430068
0.356564 4039.462773
0.364800 4116.493008
0.372643 4163.027809
0.380027 4285.105039
0.387959 4382.013630
0.395811 4449.207579
0.403495 4538.015649
0.411117 4642.673735
0.419050 4721.017491
0.426791 4796.611717
0.434500 4889.065291
0.442175 4985.514453
0.449985 5070.311142
0.457694 5154.881847
0.465421 5243.990252
0.473191 5326.920963
0.480970 5406.040902
0.488656 5493.829724
0.496430 5579.583829
0.504120 5668.226469
0.511887 5755.899566
0.519548 5849.387267
0.527315 5939.342047
0.534969 6032.053859
0.542813 6112.203694
0.550364 6206.563638
0.558258 6284.688534
0.565819 6370.881774
0.573786 6439.145431
0.581210 6534.957248
0.589201 6613.085524
0.596718 6701.955979
0.604569 6792.114612
0.612141 6888.293210
0.620018 6972.762920
0.627563 7067.841413
0.635455 7149.298609
0.643015 7238.538295
0.650905 7315.519971
0.658456 7402.578523
0.666356 7477.960848
0.673919 7563.964849
0.681834 7639.764466
0.689361 7732.962604
0.697304 7814.909343
0.704833 7913.279996
0.712783 8000.420717
0.720297 8103.373738
0.728255 8191.652031
0.735790 8290.652206
0.743754 8373.469476
0.751290 8459.480938
0.759247 8561.599549
0.766792 8621.673266
0.774751 8727.564365
0.782277 8791.617321
0.790368 8870.069578
0.797709 8951.212636
0.805901 9030.313415
0.813254 9104.373767
0.821344 9199.133230
0.828776 9274.378302
0.836808 9378.951618
0.844226 9468.426936
0.852522 9551.581207
0.859567 9656.681886
0.867983 9755.997009
0.875278 9810.201504
0.883391 9920.769613
0.890729 9981.495002
0.898829 10086.816771
0.906260 10135.312832
0.914274 10242.938397
0.921670 10301.819561
0.927755 10390.231490
