U2 RF2
0.000000000000000000e+00 0.000000000000000000e+00
1.095961344738801378e-02 1.127722835540771484e+02
8.150612901557575951e-02 9.392236938476562500e+02
1.537254348848805241e-01 1.803209564208984375e+03
2.259472240552757860e-01 2.667332031250000000e+03
2.981710546847545773e-01 3.531577133178710938e+03
3.703966348460226432e-01 4.395932067871093750e+03
4.426243282628781750e-01 5.260387054443359375e+03
5.148537321524186972e-01 6.124931701660156250e+03
5.870858683730616479e-01 6.989566741943359375e+03
6.593183495781638204e-01 7.854275268554687500e+03
7.315505408879482419e-01 8.719046875000000000e+03
8.037823899225755575e-01 9.583876342773437500e+03
8.667210232127796621e-01 1.034773791503906250e+04
