U2 RF2
0.000000 0.000000
0.000000 0.000000
0.000351 3.499548
0.000698 7.834276
0.001206 13.445304
0.001957 21.911838
0.003082 34.675355
0.004809 54.223475
0.007410 83.496715
0.011304 126.752995
0.017107 191.460868
0.024660 277.313796
0.032288 367.204164
0.039964 456.517641
0.047691 546.421364
0.055442 635.382371
0.063202 724.024169
0.070968 812.193120
0.078732 900.269337
0.086492 989.140127
0.094253 1077.725158
0.102009 1165.281312
0.109760 1252.064596
0.117510 1337.989251
0.125251 1423.809268
0.132987 1510.033012
0.140721 1590.949861
0.148431 1677.325551
0.156136 1766.752744
0.163832 1855.131312
0.171520 1942.897590
0.179205 2028.454604
0.186884 2112.478741
0.194560 2198.156935
0.202236 2284.569533
0.209918 2371.652325
0.217606 2457.914135
0.225300 2545.085963
0.232998 2632.644267
0.240704 2720.059870
0.248412 2807.405183
0.256130 2894.078464
0.263846 2981.545732
0.271575 3066.213214
0.279301 3153.450578
0.287032 3239.348393
0.294884 3317.162309
0.302526 3408.571656
0.310371 3494.299322
0.318090 3579.307319
0.325872 3665.472769
0.333587 3752.330433
0.341366 3838.364318
0.349343 3901.142056
0.357280 3955.714298
0.364682 4067.347485
0.372642 4160.417361
0.380358 4240.593403
0.387915 4351.862945
0.395797 4440.439357
0.403882 4488.864054
0.411042 4613.753140
0.419433 4678.140401
0.426923 4749.147586
0.434693 4851.074471
0.442694 4912.115514
0.450213 5002.639125
0.458025 5098.319781
0.465707 5185.263178
0.473585 5262.301082
0.481709 5303.025141
0.488799 5429.504424
0.497396 5477.444241
0.504231 5598.086217
0.512947 5650.490070
0.519718 5768.948403
0.528635 5804.432830
0.534630 5984.519532
0.544179 6007.436473
0.550074 6155.802737
0.559615 6184.320138
0.565705 6315.136885
0.574961 6358.088805
0.581637 6450.976127
0.590152 6526.259482
0.597475 6603.813798
0.605443 6688.307614
0.613287 6748.923734
0.620969 6827.171880
0.628613 6925.634688
0.636622 6987.111189
0.644046 7086.601316
0.651959 7176.118474
0.659628 7261.309147
0.667447 7348.109858
0.675134 7440.369281
0.682971 7525.956697
0.690607 7621.535996
0.698438 7708.525046
0.706074 7800.198921
0.714006 7873.272977
0.721531 7966.502540
0.729583 8034.061200
0.737010 8130.218807
0.745102 8202.211614
0.752537 8299.189261
0.760604 8376.012693
0.768054 8475.462295
0.776312 8531.903429
0.783506 8645.559701
0.791895 8701.125268
0.798991 8812.599804
0.807432 8865.641314
0.814651 8963.960789
0.822869 9034.331975
0.830280 9119.032330
0.838384 9192.260577
0.845725 9288.930862
0.854450 9304.769045
0.860920 9453.858661
0.870098 9483.398646
0.876423 9629.319064
0.885578 9675.737581
0.891972 9828.540447
0.901070 9869.984024
0.907509 10022.085561
0.916635 10050.069920
0.923450 10156.510194
0.929919 10199.925970
